|   1   |      2       |       3      |       4      |       5      |       6      |       7      |       8      |       9      |       10     |       11     |       12     |      13       |
+-------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+
                       А. Балансовые счета
     Актив
|32301                 0        2415149        2415149              0        1221365        1221365              0        3636514        3636514              0              0              0|
|32401            179255              0         179255              0              0              0              0              0              0         179255              0         179255|
|32501              1306              0           1306              0              0              0              0              0              0           1306              0           1306|
|44603                 0              0              0       10000000              0       10000000       10000000              0       10000000              0              0              0|
|44604          10001615              0       10001615              0              0              0              0              0              0       10001615              0       10001615|
|44605              6406              0           6406           4710              0           4710              0              0              0          11116              0          11116|
|44606             83632              0          83632          32781              0          32781           3500              0           3500         112913              0         112913|
|44607           5014805              0        5014805              0              0              0           1952              0           1952        5012853              0        5012853|
|44608          28875065              0       28875065           8456              0           8456        1219971              0        1219971       27663550              0       27663550|
|44616                 0              0              0         124719              0         124719         124719              0         124719              0              0              0|
|44706              3455              0           3455              0              0              0           2150              0           2150           1305              0           1305|
|44716                 0              0              0              7              0              7              7              0              7              0              0              0|
|44906            421617              0         421617          73304              0          73304          84132              0          84132         410789              0         410789|
|44907             45640              0          45640              0              0              0          45640              0          45640              0              0              0|
|44908             94748              0          94748              0              0              0           1118              0           1118          93630              0          93630|
|44916              8240              0           8240           7905              0           7905           2812              0           2812          13333              0          13333|
|45105           1415111              0        1415111         836752              0         836752         553541              0         553541        1698322              0        1698322|
|45106             40611              0          40611           7822              0           7822            646              0            646          47787              0          47787|
|45107           5274929              0        5274929          23500              0          23500          54063              0          54063        5244366              0        5244366|
|45108            676736       14338983       15015719              0         896379         896379          12411        1746883        1759294         664325       13488479       14152804|
|45116              9260              0           9260          14496              0          14496          12816              0          12816          10940              0          10940|
|45201           1098692              0        1098692        2877293              0        2877293        2746371              0        2746371        1229614              0        1229614|
|45203           9212386              0        9212386      103860000              0      103860000       99022386              0       99022386       14050000              0       14050000|
|45204          19532134              0       19532134        9588686              0        9588686       14843104              0       14843104       14277716              0       14277716|
|45205          40458947       26326938       66785885       11308847        5721624       17030471        8995522       12908602       21904124       42772272       19139960       61912232|
|45206         318880329        3680877      322561206       33854615        1871660       35726275       14793803         651224       15445027      337941141        4901313      342842454|
|45207         190613691        2987560      193601251        4069845         287063        4356908       10041187         455657       10496844      184642349        2818966      187461315|
|45208         752743817      345423695     1098167512       23665718       27483132       51148850        7763976       43124508       50888484      768645559      329782319     1098427878|
|45216           3232096              0        3232096        4273728              0        4273728        4516519              0        4516519        2989305              0        2989305|
|45301              9287              0           9287          13455              0          13455          13372              0          13372           9370              0           9370|
|45305              5243              0           5243              0              0              0           2768              0           2768           2475              0           2475|
|45306             89188              0          89188              0              0              0           5902              0           5902          83286              0          83286|
|45307             18849              0          18849              0              0              0            100              0            100          18749              0          18749|
|45308            135254              0         135254              0              0              0          15357              0          15357         119897              0         119897|
|45316               535              0            535           8671              0           8671           8595              0           8595            611              0            611|
|45401             75604              0          75604         191583              0         191583         209586              0         209586          57601              0          57601|
|45404              3447              0           3447           1601              0           1601           1440              0           1440           3608              0           3608|
|45405           1321564              0        1321564          71968              0          71968         111715              0         111715        1281817              0        1281817|
|45406           8260989              0        8260989        1419329              0        1419329         462587              0         462587        9217731              0        9217731|
|45407            633847              0         633847          19774              0          19774          50255              0          50255         603366              0         603366|
|45408          13168652              0       13168652         465081              0         465081         402291              0         402291       13231442              0       13231442|
